movie_title,content_rating,runtime,production_company,audience_rating
But I'm a Cheerleader,R,81,Lionsgate Films,74
Butch Cassidy and the Sundance Kid,PG,110,20thCenturyFox,92
Cabaret,PG,124,20thCenturyFox,87
Cabin Fever,R,94,Lionsgate Films,44
Cach??,R,117,Sony,78
Caddyshack,R,98,Warner Bros.,87
Caddyshack II,PG,98,Warner Bros.,18
Cadillac Records,R,108,Sony,65
Calendar Girls,PG-13,108,Buena Vista,67
Camp Nowhere,PG,96,Buena Vista,58
Camp Rock,G,96,Disney,75
Can't Buy Me Love,PG-13,94,Buena Vista,74
Can't Hardly Wait,PG-13,98,Columbia Pictures,63
Canadian Bacon,R,91,MGM,52
Candy,R,108,ThinkFilm,77
Candyman,R,98,TriStar Pictures,62
Candyman: Farewell to the Flesh,R,94,PolyGram,30
Cape Fear,R,128,MCA Universal Home Video,77
Capitalism: A Love Story,R,127,Overture Films,74
Capote,R,115,Sony,82
